tx_hash,tx_id,shard_id,completion_type,success,send_time,completion_time,latency_ms,block_number,created_at,event_name
0x2c33979575718a0147379e432fc23131ca69d3e9fc9600ed7ac96c8265f49586,0x5de93b7f823879f8c1060378046221ced1df0009105a63cc38e59fe6d8dffabf,0,3,false,,1776756093000,,85,1776756099509,MevBotChainspaceIntentFinalized
0x4e087f55f3b220238359dda14297de890912d64ae21a860dd349b3691ced651a,0x1f68e57797b9bc6228528b199556da5ee7269245d01f7694a824348d5f926aba,0,3,false,,1776756093000,,85,1776756099556,MevBotChainspaceIntentFinalized
0xf1b742f09b72ef860ce01d0ae80218e54e410880beb470b96b32bc71d01dcece,0xe34853be5c15100185136ac0fae8222e282a4dd6a4dceb409ddae17c52961703,0,3,false,,1776756093000,,85,1776756099611,MevBotChainspaceIntentFinalized
0xedc5d9d16c1a514dea82e6da932c130550ff234ec92a2309d9bffe205ad39368,0x1cbe55678fda15bb1d34db839a700043cabca3a890b132f63a8ab047516ee31e,0,3,false,,1776756093000,,85,1776756099661,MevBotChainspaceIntentFinalized
0xedfd34b0309d0d3599b3adfc876a97eb1d7c95e71f83272927f121ab7736691b,0x83d03f30991e3120af406e245f98ef579c9b9e9e70eebd66001259815982a3df,0,3,false,,1776756093000,,85,1776756099716,MevBotChainspaceIntentFinalized
0x0dc05536756fe0f3aa8bbf1d1b2ad3e101f039dbc2b0a5174e7ecfef258b53ee,0x0a7aa8dc4a013d2f2268db92f72ebe77269bc63fe0cfff26b9554b0f6a8712a6,0,3,false,,1776756097000,,87,1776756099762,MevBotChainspaceIntentFinalized
0x21afa62c2306d15bdd59240f5d9cfb1ad0cf4cc202e96b0dcdbcdfb6f17b7e49,0xc800d5cf48d953790af1113f56ac5b9cc360bf95ee25869d8e73b399e7046e28,0,3,false,,1776756097000,,87,1776756099770,MevBotChainspaceIntentFinalized
0xbcc9f74ff193c4b7eb365ca1bd5879acab171bed6a776324e52aef35b1bd6f38,0xd8dbef127d6a8d7569c40482b544ee46bad6e55d1d61973cc7424235b2706c87,0,3,false,,1776756097000,,87,1776756099777,MevBotChainspaceIntentFinalized
0xe3847aa12d79884ba2d00f8e0dc9f6233a5a1f820d47b5708b9cbbb989b16ae4,0x507eb8cef7b8ac87576c97fd2807e54bcd25aaa221328fb37fee9d5eb99448bf,0,3,false,,1776756097000,,87,1776756099782,MevBotChainspaceIntentFinalized
0x7bcf9d774a33ce31bf5d75b93c78d12daa4aee079d31710fee5d0d7d8075233f,0xd92b10d729bc6749f74bb78b50a1f1c87e3bf556e4b24c53288eb8ac36ed3860,0,3,false,,1776756097000,,87,1776756099789,MevBotChainspaceIntentFinalized
0xa3d026a4665651ad46faffe1a71aaba991e9d929b162dab53a34c7a1aa0c8beb,0x6f06f41cf9121ab425cd3bb007e27f8d767a77c46b13e986382d5e85da141cad,0,3,false,,1776756097000,,87,1776756099795,MevBotChainspaceIntentFinalized
0xc3116d9977e8c1eb891c6e1208b8eec4614236ef664c98cb4e2077b3d9c1c31e,0x393849aadd254431233a7555799dc920b3d8bf4d0b8df6bdd4e7be99880a0a0c,0,3,false,,1776756097000,,87,1776756099804,MevBotChainspaceIntentFinalized
